data set,log_g0,Gamma_t,u,alpha,temperature,log_n
-159.3,6.269704752701623,0.01000,0.416,0.8311034263704246,0.11093964574124875,5.871182763228247
-157.6,7.808561525982334,0.01000,0.416,0.8311034263704246,0.11093964574124875,5.871182763228247
-155.9,5.756927417728782,0.01500,0.416,0.8311034263704246,0.11093964574124875,5.871182763228247
-154.2,6.6719779166360045,0.02250,0.416,0.8311034263704246,0.11093964574124875,5.871182763228247
-152.5,6.773254256666505,0.02750,0.416,0.8311034263704246,0.11093964574124875,5.871182763228247
-150.8,6.83703356979619,0.02750,0.416,0.8311034263704246,0.11093964574124875,5.871182763228247
-149.1,6.869397811656342,0.03000,0.416,0.8311034263704246,0.11093964574124875,5.871182763228247
-147.4,7.724286499646855,0.03000,0.416,0.8311034263704246,0.11093964574124875,5.871182763228247
-145.7,8.199699055593001,0.03500,0.416,0.8311034263704246,0.11093964574124875,5.871182763228247
-144.0,8.264437962263894,0.04500,0.416,0.8311034263704246,0.11093964574124875,5.871182763228247
-142.3,9.363968475301213,0.08000,0.416,0.8311034263704246,0.11093964574124875,5.871182763228247
